melakarta,raga,direction,swara,pattern,notes
1,Kanakangi,aroha,s,,
1,Kanakangi,aroha,r,,
1,Kanakangi,aroha,g,,
1,Kanakangi,aroha,m,,
1,Kanakangi,aroha,p,,
1,Kanakangi,aroha,d,,
1,Kanakangi,aroha,n,,
1,Kanakangi,aroha,s',,
1,Kanakangi,avaroha,s,,
1,Kanakangi,avaroha,r,,
1,Kanakangi,avaroha,g,,
1,Kanakangi,avaroha,m,,
1,Kanakangi,avaroha,p,,
1,Kanakangi,avaroha,d,,
1,Kanakangi,avaroha,n,,
1,Kanakangi,avaroha,s',,
2,Ratnangi,aroha,s,,
2,Ratnangi,aroha,r,,
2,Ratnangi,aroha,g,,
2,Ratnangi,aroha,m,,
2,Ratnangi,aroha,p,,
2,Ratnangi,aroha,d,,
2,Ratnangi,aroha,n,,
2,Ratnangi,aroha,s',,
2,Ratnangi,avaroha,s,,
2,Ratnangi,avaroha,r,,
2,Ratnangi,avaroha,g,,
2,Ratnangi,avaroha,m,,
2,Ratnangi,avaroha,p,,
2,Ratnangi,avaroha,d,,
2,Ratnangi,avaroha,n,,
2,Ratnangi,avaroha,s',,
3,Ganamurti,aroha,s,,
3,Ganamurti,aroha,r,,
3,Ganamurti,aroha,g,,
3,Ganamurti,aroha,m,,
3,Ganamurti,aroha,p,,
3,Ganamurti,aroha,d,,
3,Ganamurti,aroha,n,,
3,Ganamurti,aroha,s',,
3,Ganamurti,avaroha,s,,
3,Ganamurti,avaroha,r,,
3,Ganamurti,avaroha,g,,
3,Ganamurti,avaroha,m,,
3,Ganamurti,avaroha,p,,
3,Ganamurti,avaroha,d,,
3,Ganamurti,avaroha,n,,
3,Ganamurti,avaroha,s',,
4,Vanaspati,aroha,s,,
4,Vanaspati,aroha,r,,
4,Vanaspati,aroha,g,,
4,Vanaspati,aroha,m,,
4,Vanaspati,aroha,p,,
4,Vanaspati,aroha,d,,
4,Vanaspati,aroha,n,,
4,Vanaspati,aroha,s',,
4,Vanaspati,avaroha,s,,
4,Vanaspati,avaroha,r,,
4,Vanaspati,avaroha,g,,
4,Vanaspati,avaroha,m,,
4,Vanaspati,avaroha,p,,
4,Vanaspati,avaroha,d,,
4,Vanaspati,avaroha,n,,
4,Vanaspati,avaroha,s',,
5,Manavati,aroha,s,,
5,Manavati,aroha,r,,
5,Manavati,aroha,g,,
5,Manavati,aroha,m,,
5,Manavati,aroha,p,,
5,Manavati,aroha,d,,
5,Manavati,aroha,n,,
5,Manavati,aroha,s',,
5,Manavati,avaroha,s,,
5,Manavati,avaroha,r,,
5,Manavati,avaroha,g,,
5,Manavati,avaroha,m,,
5,Manavati,avaroha,p,,
5,Manavati,avaroha,d,,
5,Manavati,avaroha,n,,
5,Manavati,avaroha,s',,
6,Tanarupi,aroha,s,,
6,Tanarupi,aroha,r,,
6,Tanarupi,aroha,g,,
6,Tanarupi,aroha,m,,
6,Tanarupi,aroha,p,,
6,Tanarupi,aroha,d,,
6,Tanarupi,aroha,n,,
6,Tanarupi,aroha,s',,
6,Tanarupi,avaroha,s,,
6,Tanarupi,avaroha,r,,
6,Tanarupi,avaroha,g,,
6,Tanarupi,avaroha,m,,
6,Tanarupi,avaroha,p,,
6,Tanarupi,avaroha,d,,
6,Tanarupi,avaroha,n,,
6,Tanarupi,avaroha,s',,
7,Senavati,aroha,s,,
7,Senavati,aroha,r,,
7,Senavati,aroha,g,,
7,Senavati,aroha,m,,
7,Senavati,aroha,p,,
7,Senavati,aroha,d,,
7,Senavati,aroha,n,,
7,Senavati,aroha,s',,
7,Senavati,avaroha,s,,
7,Senavati,avaroha,r,,
7,Senavati,avaroha,g,,
7,Senavati,avaroha,m,,
7,Senavati,avaroha,p,,
7,Senavati,avaroha,d,,
7,Senavati,avaroha,n,,
7,Senavati,avaroha,s',,
8,Hanumatodi,aroha,s,,
8,Hanumatodi,aroha,r,,
8,Hanumatodi,aroha,g,,
8,Hanumatodi,aroha,m,,
8,Hanumatodi,aroha,p,,
8,Hanumatodi,aroha,d,,
8,Hanumatodi,aroha,n,,
8,Hanumatodi,aroha,s',,
8,Hanumatodi,avaroha,s,,
8,Hanumatodi,avaroha,r,,
8,Hanumatodi,avaroha,g,,
8,Hanumatodi,avaroha,m,,
8,Hanumatodi,avaroha,p,,
8,Hanumatodi,avaroha,d,,
8,Hanumatodi,avaroha,n,,
8,Hanumatodi,avaroha,s',,
9,Dhenuka,aroha,s,,
9,Dhenuka,aroha,r,,
9,Dhenuka,aroha,g,,
9,Dhenuka,aroha,m,,
9,Dhenuka,aroha,p,,
9,Dhenuka,aroha,d,,
9,Dhenuka,aroha,n,,
9,Dhenuka,aroha,s',,
9,Dhenuka,avaroha,s,,
9,Dhenuka,avaroha,r,,
9,Dhenuka,avaroha,g,,
9,Dhenuka,avaroha,m,,
9,Dhenuka,avaroha,p,,
9,Dhenuka,avaroha,d,,
9,Dhenuka,avaroha,n,,
9,Dhenuka,avaroha,s',,
10,Natakapriya,aroha,s,,
10,Natakapriya,aroha,r,,
10,Natakapriya,aroha,g,,
10,Natakapriya,aroha,m,,
10,Natakapriya,aroha,p,,
10,Natakapriya,aroha,d,,
10,Natakapriya,aroha,n,,
10,Natakapriya,aroha,s',,
10,Natakapriya,avaroha,s,,
10,Natakapriya,avaroha,r,,
10,Natakapriya,avaroha,g,,
10,Natakapriya,avaroha,m,,
10,Natakapriya,avaroha,p,,
10,Natakapriya,avaroha,d,,
10,Natakapriya,avaroha,n,,
10,Natakapriya,avaroha,s',,
11,Kokilapriya,aroha,s,,
11,Kokilapriya,aroha,r,,
11,Kokilapriya,aroha,g,,
11,Kokilapriya,aroha,m,,
11,Kokilapriya,aroha,p,,
11,Kokilapriya,aroha,d,,
11,Kokilapriya,aroha,n,,
11,Kokilapriya,aroha,s',,
11,Kokilapriya,avaroha,s,,
11,Kokilapriya,avaroha,r,,
11,Kokilapriya,avaroha,g,,
11,Kokilapriya,avaroha,m,,
11,Kokilapriya,avaroha,p,,
11,Kokilapriya,avaroha,d,,
11,Kokilapriya,avaroha,n,,
11,Kokilapriya,avaroha,s',,
12,Rupavati,aroha,s,,
12,Rupavati,aroha,r,,
12,Rupavati,aroha,g,,
12,Rupavati,aroha,m,,
12,Rupavati,aroha,p,,
12,Rupavati,aroha,d,,
12,Rupavati,aroha,n,,
12,Rupavati,aroha,s',,
12,Rupavati,avaroha,s,,
12,Rupavati,avaroha,r,,
12,Rupavati,avaroha,g,,
12,Rupavati,avaroha,m,,
12,Rupavati,avaroha,p,,
12,Rupavati,avaroha,d,,
12,Rupavati,avaroha,n,,
12,Rupavati,avaroha,s',,
13,Gayakapriya,aroha,s,,
13,Gayakapriya,aroha,r,,
13,Gayakapriya,aroha,g,,
13,Gayakapriya,aroha,m,,
13,Gayakapriya,aroha,p,,
13,Gayakapriya,aroha,d,,
13,Gayakapriya,aroha,n,,
13,Gayakapriya,aroha,s',,
13,Gayakapriya,avaroha,s,,
13,Gayakapriya,avaroha,r,,
13,Gayakapriya,avaroha,g,,
13,Gayakapriya,avaroha,m,,
13,Gayakapriya,avaroha,p,,
13,Gayakapriya,avaroha,d,,
13,Gayakapriya,avaroha,n,,
13,Gayakapriya,avaroha,s',,
14,Vakulabharanam,aroha,s,,
14,Vakulabharanam,aroha,r,,
14,Vakulabharanam,aroha,g,,
14,Vakulabharanam,aroha,m,,
14,Vakulabharanam,aroha,p,,
14,Vakulabharanam,aroha,d,,
14,Vakulabharanam,aroha,n,,
14,Vakulabharanam,aroha,s',,
14,Vakulabharanam,avaroha,s,,
14,Vakulabharanam,avaroha,r,,
14,Vakulabharanam,avaroha,g,,
14,Vakulabharanam,avaroha,m,,
14,Vakulabharanam,avaroha,p,,
14,Vakulabharanam,avaroha,d,,
14,Vakulabharanam,avaroha,n,,
14,Vakulabharanam,avaroha,s',,
15,Mayamalavagowla,aroha,s,,
15,Mayamalavagowla,aroha,r,,
15,Mayamalavagowla,aroha,g,,
15,Mayamalavagowla,aroha,m,,
15,Mayamalavagowla,aroha,p,,
15,Mayamalavagowla,aroha,d,,
15,Mayamalavagowla,aroha,n,,
15,Mayamalavagowla,aroha,s',,
15,Mayamalavagowla,avaroha,s,,
15,Mayamalavagowla,avaroha,r,,
15,Mayamalavagowla,avaroha,g,,
15,Mayamalavagowla,avaroha,m,,
15,Mayamalavagowla,avaroha,p,,
15,Mayamalavagowla,avaroha,d,,
15,Mayamalavagowla,avaroha,n,,
15,Mayamalavagowla,avaroha,s',,
16,Chakravakam,aroha,s,,
16,Chakravakam,aroha,r,,
16,Chakravakam,aroha,g,,
16,Chakravakam,aroha,m,,
16,Chakravakam,aroha,p,,
16,Chakravakam,aroha,d,,
16,Chakravakam,aroha,n,,
16,Chakravakam,aroha,s',,
